Recurso;XP/unidad
Madeira de Olivioleta;0,14
Osso invisível do Chafer invisível;0,1435
Asas de Scarafolha Branco;0,1495
Asas de Scarafolha Vermelho;0,1495
Estanho;0,15
Madeira de teixo;0,15
Centeio;0,15
Edelvais;0,15
Arroz;0,15
Silicato;0,15
Enguia;0,15
Olho de Kwânio;0,1554
Madeira de bambu;0,16
Dourada cinza;0,16
Castanha de Caju;0,1611
Couro de Gárgrula;0,1618
Couro de Boostache pré-adolescente;0,1618
Couro do Leitão;0,1655
Prata;0,17
Malte;0,17
Madeira de cerejeira;0,17
Perca;0,17
Semente de Pandóbora;0,17
Pena de Tofu;0,176
Ovo de Tofu;0,176
Dente de Tofu Mutante;0,176
Couro de Nojoso;0,176
Dente de Garglifo;0,176
Pata de Tofukaz;0,176
Olho de Tofu Negro;0,176
Antenas de Vilinseto;0,176
Estômago de Nojoso;0,1795
Fio de linho;0,18
Costelas do Rib;0,1826
Pata de Arakne Maior;0,1845
Arraia azul;0,19
Madeira de aveleira;0,19
Cânhamo;0,2
Bauxita;0,2
Madeira de Ébano;0,2
Runa Po;0,2
Runa Por Ard;0,2
Runa Res Fogo;0,2
Runa Res Ar;0,2
Runa Res Água;0,2
Runa Res Terra;0,2
Runa Res Neutro;0,2
Runa Res Emp;0,2
Runa Res Cri;0,2
Ginseng;0,2
Pacamão;0,2
Lamela de Cogum azul;0,202
Lamela de Cogum marrom;0,202
Lamela de Cogum vermelho;0,202
Lamela de Cogum verde;0,202
Tambor de Gobalada;0,2058
Luneta de Gobtrote;0,2058
Ponta de Lança de Engobelar;0,2058
Osso Roído de Gobilão;0,2058
Touca de Gobalista;0,2058
Madeira de Tronknídeo;0,2062
Semente da discórdia;0,207
Carne mineral;0,2078
Tripa de Herbizarro;0,2087
Tubarão Martelifoice;0,21
Madeira de Kaliptus;0,21
Asas de Scarafolha Azul;0,2136
Asas de Scarafolha Verde;0,2136
Espelho de Dopel;0,2138
Ouro;0,22
Madeira de cárpino;0,22
Robalo Arte;0,22
Beladona;0,22
Milho;0,22
Asas do Scarafolha Negro;0,2214
Papel carbono;0,2225
Runa Pa For;0,2249
Runa Pa Int;0,2249
Runa Pa Vi;0,2249
Runa Pa Agi;0,2249
Runa Pa Sor;0,2249
Cueca de Bwork Arqueiro;0,2293
Coral Kuraçal;0,2358
Coral Maliboo;0,2358
Coral Passaoh;0,2358
Coral Morrito;0,2358
Pena engordurada do Tofu Panceps;0,2388
Madeira de bambu sombrio;0,24
Bacalhau;0,24
Bolsa Suspeita;0,2427
Bulbo de Kuraçal;0,2446
Bulbo de Maliboo;0,2446
Bulbo Passaoh;0,2446
Bulbo de Morrito;0,2446
Selo real falsificado;0,2446
Pelos da barba do Bwork Mago;0,2475
Focinho de Javali das Planícies;0,2485
Galho de Pekewabbit Kofome;0,2485
Madeira de olmo;0,25
Dolomita;0,25
Mandrágora;0,25
Milheto;0,25
Tenca;0,25
Pelos de camundongo;0,2505
Sarça Ephedryana;0,2505
Osso surpresa do Chafer de infantaria;0,2527
Bico do Kwak de Gelo;0,2537
Bico do Kwak de Fogo;0,2537
Bico do Kwak de Vento;0,2537
Pena do Kwak de Gelo;0,2537
Pena do Kwak de Fogo;0,2537
Pena do Kwak de Vento;0,2537
Pena do Kwak de Terra;0,2537
Bico do Kwak de Terra;0,2537
Garras de Kwak;0,2537
Cóccix  de Coralador;0,2537
Cápsula Explosiva;0,2539
Madeira de bambu sagrado;0,26
Peixe-espada;0,26
Correntes quebradas;0,2604
Dente de Larva Safira;0,263
Bigodes de Pekewabbit;0,263
Crânio do Kardorim;0,2631
Semente de gergelim;0,2664
Gelatina de Mirtilo;0,2668
Campânula-branca;0,27
Peixelado;0,27
Madeira de álamo;0,27
Frostiz;0,27
Obsidiana;0,27
Faixa do Black Pekewabbit;0,2725
Garra de Caranguejo;0,2725
Misericórdia do Chafer de Elite;0,2725
Cueca de couro do Chafer lanceiro;0,2725
Dente de Crocodyl;0,2725
Couro de Porkasso;0,2725
Flecha do Chafer Arqueiro;0,2725
Tridente quebrado;0,2725
Olho de Raul Mops;0,2725
Tatuagem de Garoto Mau;0,2725
Relíquia de Família;0,2725
Pálpebra de estrela;0,2725
Suor Frio de Fantasma;0,2725
Partitura Antiga;0,2725
Pelo de Arvrakne;0,2725
Âmbar;0,2778
Dente de Larva Esmeralda;0,2821
Geléia Limão;0,2827
Geléia de Menta;0,284
Raiz de Arvraknídeo;0,2907
Pata de Wabbit;0,292
Noz-Pecã;0,2986
Maxilar do Chafer Draugr;0,2998
Grande bola de canhão;0,3005
Dente de Larva Rubi;0,3021
Raiz de Tronkoblop;0,3022
Kokonudo;0,3036
Gelatina de morango;0,305
Carne tenra;0,3098
Tronco de Kokoko;0,3125
Noz de Grankoko traumatizada;0,3125
Carapaça verde;0,3125
Carapaça vermelha;0,3125
Carapaça amarela;0,3125
Carapaça azul;0,3125
Fatia de Kokonkaska;0,3125
Folha de Pekekoko;0,3125
Pena de Thorrandor;0,3125
Chifre de Brútalo;0,3125
Garra de Grurso;0,3125
Presa de Trankilobo;0,3125
Pata de Black Wabbit;0,3191
Flor de Blopumelo;0,3222
Pata de Kwataovo;0,326
Ombreiras de Bwork;0,3276
Dente de Larva Dourada;0,3298
Olho Biônico;0,337
Osso de Wabbit Skeleto;0,3408
Haiku do Dragão: Resolução;0,3415
Haiku do Dragão: Paixão;0,3415
Embalagem Suspeita;0,3482
Pele Adoecida;0,3543
Dente de Waddict;0,3596
Sobrancelha de Moskito;0,3635
Pele de Ramã do Esgoto;0,3713
Faixa de Black Wabbit Skeleto;0,3713
Pelagem de Timangusto;0,3734
Tendão de Wamarradão;0,3831
Gortrool industrial;0,3842
Pele de Mob Esponja;0,3913
Pelos da barba do Vovô Wabbit;0,3952
Asa de Ferrangão;0,3952
Pele de Serpentino;0,3952
Corrente de Robô Flagelador;0,3952
Casca danificada;0,3952
Rabo de Rato Hioativo;0,3952
Orelha de Guerreiro Mental;0,3952
Baba de Rosa Demoníaca;0,3981
Estômago de Wabbit Gowdo;0,404
Camundongo Verde;0,404
Dobradiça quebrada;0,404
Dente de Larva Campestre;0,404
Garra de Robionicle;0,404
Pedra do Smagador;0,4098
Flor de Glutoblop;0,4263
Algodão Ancestral;0,4282
Erva daninha;0,4282
Morango;0,4293
Adubo;0,4339
Pata de Arakne Mágica;0,443
Canino de Goblin;0,4436
Boneca Vodu Eth;0,4456
Boneca Vodu Jav;0,4456
Boneca Vodu Sarbak;0,4456
Boneca Vodu Arko;0,4456
Pelo de Rato do Esgoto;0,4456
Boneca Vodu Tam;0,4456
Fio de seda;0,4458
Folha de Girassol Selvagem;0,4458
Carne verminada;0,4459
Esporma de Cogu Cogu;0,4478
Madeira carcomida;0,4478
Runa Sa;0,45
Runa Pa Pod;0,45
Runa Pa Ini;0,45
Runa Prospe;0,45
Ferrita;0,45
Tábua aglomerada;0,45
Lata de Vetaurano;0,4534
Água calma;0,4546
Capacete do Chafer primitivo;0,4628
Olho de Smagaclope;0,4714
Ponta de Dragoperu;0,4796
Sangue de Papatudo;0,4866
Chama espectral;0,4921
Pedaço de Tronco de Flib;0,4936
Sílex;0,4989
Escama viscosa;0,5073
Lenço do Sparo;0,5078
Sementes de Abóbowas Malditas;0,525
Chave da Cripta do Kardorim;0,5254
Pele de Koalak Imaturo;0,5344
Camiseta do Barbrossa;0,5344
Sangue do Kido;0,535
Nolho morto;0,5418
Fragmento de pedra pontuda;0,5431
Fragmento de pedra polida;0,5494
Pata de Komenoz;0,5494
Pedra de Diamante;0,55
Cogumelo;0,5646
Pena de Crowvo;0,5646
Semente de Scorbuto;0,5646
Dente de Dragoperu;0,5646
Bigode de Kolerrato;0,5646
Beiços de Álmata;0,5646
Orelha de Foxfaiter;0,5646
Mão de Bawo;0,5646
Rabo de Dragoperu Selvagem;0,5646
Lã do Papakool;0,5648
Folha de Rosa Obscura;0,5742
Pelo de Vetaurano;0,578
Crina de Celerrato Strubiano;0,582
Líquido vampiresco;0,5837
Tecido de Javali;0,6085
Âmbar de Arvraknídeo Sombrio;0,6185
Couro de Papatudo Real;0,6194
Escama de Chefe Crocodyl;0,6263
Casca de Dragovo Argila;0,6279
Casca de Dragovo Carvão;0,6279
Casca de Dragovo Ardósia;0,6279
Unha de Kanigre;0,6279
Pele de Dragovo Alabastro;0,6279
Ficha do Gatsino das Ecaflipulgas;0,63
Carne avariada;0,6431
Carvão;0,6562
Ponta de Dragoperu Dourado;0,6585
Tecido do Esquilóxido;0,6651
Pelos de Darit;0,6651
Pata de Arakne do Esgoto;0,6651
Olho de Ramã Strubiano;0,6651
Roscas de Milirrato Strubiano;0,6651
Escalpo de Mililobo;0,6666
Runa Ra For;0,6749
Runa Ra Int;0,6749
Runa Ra Vi;0,6749
Runa Ra Agi;0,6749
Runa Ra Sor;0,6749
Runa Ta Int;0,6749
Runa Pata Int;0,6749
Runa Rata Int;0,6749
Runa Ta For;0,6749
Runa Pata For;0,6749
Runa Rata For;0,6749
Runa Ta Agi;0,6749
Runa Pata Agi;0,6749
Runa Rata Agi;0,6749
Runa Ta Sor;0,6749
Runa Pata Sor;0,6749
Runa Rata Sor;0,6749
Runa Ta Vi;0,6749
Runa Pata Vi;0,6749
Runa Rata Vi;0,6749
Tecido invisível;0,6823
Coração de barro do Bawo;0,692
Pétala Mágica de Girassol Faminto;0,6923
Tecido de Dok Alako;0,7114
Pedra medicinal;0,7114
Casca de Dragovo Calcário;0,7168
Pena de Tofu Maléfico;0,7582
Vela do Mineiro Sombrio;0,7627
Lama Novata;0,7852
Pó Noviço;0,7852
Poça novata;0,7852
Fumaça Novata;0,7852
Capacete quebrado do Chafer;0,7879
Runa Fu;0,8
Runa Blo;0,8
Pedra de Esmeralda;0,8016
Pedra de granito;0,8085
Bumerangue do Warko Marrom;0,823
Carne sanguinolenta;0,8342
Estômago do Black Wabbit Gowdo;0,8414
Pelo de Wobot Kofome;0,8414
Capacete de Wobot;0,8414
Bastão de Vovô Wabbit Branco;0,8414
Óculos de Pekewobot;0,8414
Olho de Leopiena;0,8414
Raiz de Arvraknídeo Sombrio;0,8441
Raiz de Arvraknídeo Venerável;0,8625
Bola de Bolespinho;0,8625
Escamas de Ourobolados;0,8625
Cauda do Scordião Sanfonado;0,8625
Cauda de Fenexo;0,8625
Runa Pa Por Ard;0,9
Runa Pa Po;0,9
Runa Pa Res Emp;0,9
Runa Pa Res Cri;0,9
Runa Pa Res Ar;0,9
Runa Pa Res Água;0,9
Runa Pa Res Fogo;0,9
Runa Pa Res Neutro;0,9
Runa Pa Res Terra;0,9
Runa Pata Res Emp;0,9
Osso de Trool;0,915
Pinça de Carangolho;0,9261
Máscara rachada de Araknotron;0,9261
Asas do Scarachefe Dourado;0,9459
Boostoplasma;0,9459
Pena de Gelikano;0,9505
Cinzas Novatas;0,957
Pelos de Koalak Cereja;0,9687
Pelos de Koalak Coco;0,9687
Pelos de Koalak Maçã;0,9687
Pelos de Koalak Índigo;0,9687
Osso de Peskadolak;0,9687
Pele de Piralak;0,9687
Pelos de Koalak Florestal;0,9687
Dente de Kwânio;0,9739
Rabo de Boostache pré-adolescente;0,9739
Língua de Gárgrula;0,9739
Pelo de Miaw Selvagem;0,9762
Coluna vertebral;0,9792
Morcego;0,9982
Pepita;1
Tecido de Ratrofiado;1,0033
Chifre do Papakool;1,012
Roda de Clocinomo;1,0123
Broto de Pirolesa;1,0123
Bomba de Gordobola;1,0123
Tecido Púrpura;1,0123
Bandagens;1,0123
Faca de Rodafaka;1,0123
Orelha de Medibwork;1,0123
Bota furada de Megabwork;1,0123
Pele de Orcbwork;1,0123
Pena de Batofu;1,0294
Pata do Karoblatta;1,0294
Cogumelo Luidy;1,0366
Casca de Arvrakne sombrio;1,0389
Quelíceras de Arapex;1,0389
Lã de Ferralã;1,0389
Dente de Gargântula;1,0389
Fio de Nefilosa;1,0389
Olho de Salticida;1,0389
Haiku do Dragão: Destruição;1,0437
Haiku do Dragão: Criação;1,0437
Cera de Java Melhorada;1,0502
Pele de Kramaleão;1,0543
Casulo de Bicho-da-Seda;1,0639
Cueca de Couro Apertada do Garglifo;1,0639
Tecido sombrio;1,0639
Crânio de Chafer;1,0639
Estômago de Tofu Panceps;1,0639
Rodela de Madeira;1,0639
Estômago de Tofukaz;1,0639
Ovo Podre;1,0639
Penugem de Tofuna;1,0639
Couro de Diparma;1,067
Mandíbula de Rib;1,0726
Óleo de Girassol Selvagem;1,0747
Manual do Diretor Grunob;1,0937
Flor de Glutonívoro;1,0937
Folha de Arbustor;1,0937
Pena de Dominha;1,0937
Pena de Dostrogodo;1,0937
Kokolante Morto;1,0937
Samba-canção fofa do Pirata;1,1025
Rum de qualidade;1,1025
Bola de Canhão Dorf;1,1025
Faixa de Omanetta;1,1025
Canivete enferrujado;1,1025
Carne maturada;1,1025
Cenouwa;1,1055
Rabo de Milobo;1,121
Água Ferrosa;1,151
Vísceras de Scarafolha;1,1977
Óleo de Gergelim;1,1992
Aluminita;1,2
Tábua compensada;1,2
Corpo de Estafermo;1,2
Óleo de Frostiz;1,215
Sobrancelhas de Tronknídeo;1,2263
Pata de Buldogro;1,2363
Runa Da Ref;1,25
Runa Da Ard;1,25
Runa de Caça;1,25
Runa Da Emp;1,25
Runa Da Cri;1,25
Runa Da Terra;1,25
Runa Da Fogo;1,25
Runa Da Água;1,25
Runa Da Ar;1,25
Runa Da Neutro;1,25
Pele de Drakoalak;1,2616
Pena de Gobvio;1,2616
Fêmur do Chafer Ronin;1,2883
Osso de Mamãe Koalak;1,2966
Ficha do Gatsino dos Lobichanos;1,305
Dente de Diboka;1,3229
Bico de Tofuzinho Feio;1,3312
Gema de Ovo de Kaska;1,3392
Fechadura do Baú dos Ferreiros;1,3392
Pelo de Capsaaloocke;1,3404
Pústula de Rato Sio;1,3404
Short de Capoei Rato;1,3404
Pelos de Milonoke;1,3494
Canino de Milovó;1,3494
Garra de Milobandido;1,3494
Olho de Porquilobo;1,3494
Casca de Dragosso Proteiforme;1,3494
Escama de Dragosso Carvão;1,3494
Escama de Dragosso Ardósia;1,3494
Escama de Dragosso Calcário;1,3494
Escama de Dragosso Argila;1,3494
Orelha de Rinoferoz;1,3494
Runa Ra Pod;1,35
Runa Ra Ini;1,35
Runa Ta Ini;1,35
Runa Pata Ini;1,35
Runa Rata Ini;1,35
Runa Ta Pod;1,35
Runa Pata Pod;1,35
Runa Rata Pod;1,35
Escalpo de Bwork Arqueiro;1,3824
Pele de Bworka;1,3888
Pinça de Crustocana;1,3975
Pedra de sujeira azul impura;1,4006
Saco de batatas claro;1,4009
Saco de Batatas Sombrio;1,4009
Chave dos Campos;1,4059
Carne exsudativa;1,4221
Bava de Nojoso;1,4434
Pedra de sujeira amarela impura;1,4482
Pedra de sujeira verde impura;1,4521
Peça do Quebra-Cabeça da Garra;1,4535
Peça do tesouro do Badulo;1,4535
Canudo vampiresco;1,4535
Pétala Kuraçal;1,4535
Pétala Maliboo;1,4535
Pétala Passaoh;1,4535
Pétala Morrito;1,4535
Corda de Bolsakura;1,4583
Língua de Mimikofre;1,4583
Antena de Granantena;1,4583
Chifre de Berserkofre;1,4583
Bigode Precioso;1,4583
Leite de Leitão;1,4608
Carapaça de Scaratos;1,4669
Penacho de Tofuzmo;1,4669
Pena de Bebedor;1,47
Pena de Corvoc domesticado;1,47
Catapulta de Sele Rata;1,4765
Lança de Chika Rato;1,4765
Tomo Mágico de Aloeve Rata;1,4765
Colar de Chak Rato;1,4765
Livro do Bwork Mago;1,48
Couro de Deminobola;1,483
Bandagem do Muminotor;1,483
Cinzas de Tofulminante;1,483
Pelo de Raporvo;1,4969
Rabo de Javali das Planícies;1,5
Arakne Maior Morta;1,5
Bigode do Mufafah;1,5
Língua de Pekewabbit Kofome;1,5
Pena de Tofubina;1,5082
Verme de terra;1,5149
Verme de água;1,5149
Verme de fogo;1,5149
Verme de ar;1,5149
Coral usado;1,5149
Pena do traseiro do Kido;1,5287
Dente de Pantanoso;1,5287
Pata de Corvoc;1,5307
Dente de Wabbit;1,5595
Orelhas do Pekewabbit;1,5625
Pele de Shin Larva;1,5625
Sacro magistral;1,5625
Pena do Kwakwa;1,5625
Pele de larva safira;1,5625
Roubo para Leigos;1,5625
Essência de Kardorim;1,5789
Pata de Tofu Godin;1,585
Glutorrum;1,5909
Broto de Arbustor;1,5909
Fragmento de cérebro polido;1,6035
Dentadura do Chafer de elite;1,6268
Fêmur do Chafer arqueiro;1,6268
Pelos de Black Pekewabbit;1,6268
Mucosa de Memexilhão;1,6268
Lençol;1,6268
Tufo de cabelos brancos;1,6268
Língua de Estrela;1,6268
Carapaça de caranguejo vazia;1,6268
Cueca de couro de Porkasso;1,6268
Costelas de Porkasso;1,6268
Makroute Mutilado;1,6268
Urso Mutilado;1,6268
Pele de Raul Mops;1,6268
Olho de Arvrakne;1,6268
Madrepérola bruta;1,6302
Asa do Bitufo das Planícies;1,6336
Escama de Crocodyl;1,635
Pele de Dragosa;1,6373
Pele de Draguendrop;1,6373
Chifre de Draguirritado;1,6373
Pele de Dragnarok;1,6373
Chifre de Dragmático;1,6373
Poção de recordação;1,65
Pele de Minoskito;1,6641
Pele de Mandrina;1,6641
Penugem do Kilibriss;1,6641
Blop Morto;1,6847
Pedra de Rubi;1,6885
Pele de larva esmeralda;1,6931
Pele de Porco de Farle;1,7078
Pedaço de Chave Cereja;1,725
Pedaço de Chave Maçã;1,725
Pedaço de Chave Coco;1,725
Pedaço de Chave Índigo;1,725
Pedra de Cristal;1,7427
Osso de Crocodyl;1,744
Kamiam;1,75
Tecido de Wabbit;1,7613
Pelo de Menimino;1,764
Chifre de Menimino;1,764
Fragmento de Osso;1,7663
Tíbia de Koalak Coveiro;1,7781
Pelos de Guerreiro Koalak;1,7781
Velha ventosa de Kralamor;1,7781
Chave do Castelo Arenoso;1,78
Runa Res Por Fogo;1,8
Runa Res Por Ar;1,8
Runa Res Por Terra;1,8
Runa Res Por Neutro;1,8
Runa Res Por Água;1,8
Flauta de mastodonte;1,8
Cueca de couro de Leitão;1,8041
Orelha de Paparneiromute;1,8116
Pele de larva rubi;1,8314
Tufo de Koalak Sanguíneo;1,843
Carne seca;1,846
Pólen de Bulbiflor;1,8529
Língua de Rãnúfar;1,8529
Espinho de Bulbusto;1,8529
Pistilo de Floristilo;1,8529
Caule de Bambuto;1,8529
Pata de Pupulga;1,8529
Olho de Carracac;1,8529
Palpo de Pikbul;1,8529
Pele de Carrapantiga;1,8529
Espinho de Kossa;1,8529
Noz de Kokoko;1,8656
Leite de tartaruga;1,8656
Pele de Cavaleiro Koalak;1,9006
Metária Vermelha;1,9031
Metária Azul;1,9031
Metária Amarela;1,9031
Metária Verde;1,9031
Crânio Mágico de Rata Kabada;1,9187
Tubo Enferrujado de Rata Kada;1,9187
Velho Livro de Rato Rando;1,9187
Orelha de Rato Lado;1,9187
Mafã de Pinheiro;1,9217
Folha Blop Real;1,9523
Lenço de Koalak Selvagem;1,9687
Lã de Papamute;1,9763
Broto de Arvraknídeo Sombrio Irascível;1,9772
Pele de larva dourada;1,9776
Runa de assinatura;1,98
Pena do Serpluma;1,9845
Relíquia do Coralador Magistral;2
Máscara quebrada de Araknotron irascível;2
Pedra de topázio;2,0044
Runa Pa Sa;2,025
Runa Pa Prospe;2,025
Ficha do Gatsino do Grande Jogo;2,025
Testa Óssea Maleável;2,025
Bezoar Denso;2,025
Rabo de Black Wabbit;2,0329
Ulna de Múmia Koalak;2,0381
Fralda usada de Warko Violeta;2,0381
Crânio de Wabbit Skeleto;2,0538
Âmbar de Arvraknídeo;2,0806
Chifre de Papamute de guerra;2,1038
Pata de Arvrakne irascível;2,1213
Pele de Dowa Sang;2,1541
Lã de Papamute legendário;2,174
Pele de Mestre Koalak;2,1767
Crânio de aventureiro;2,1767
Ossículo de Black Wabbit Skeleto;2,2124
Juba de Trooloko;2,2137
Gelatina Real de Mirtilo;2,2282
Gelatina Real de Menta;2,2282
Geléia Morango Real;2,2282
Geléia Limão Real;2,2282
Pelo do Wei Wabbit;2,2282
Carniflor;2,2282
Lasca do Mawabueno;2,2282
Tintura Mágica Sombria;2,2346
Primeira parte da chave do calabouço do Dragão-Porco;2,2352
Pompom Amarronzado;2,2356
Folha de galho curativo;2,2464
Dedo de galho invocador;2,2464
Fumigador Zoth;2,2493
Ebonite;2,25
Tábua de grelhar;2,25
Óleo de Arroz;2,25
Pelo de Trooleolê;2,2509
Tortrool;2,2509
Gortrool;2,2509
Chave do Pátio do Papatudo Real;2,2536
Dedicatória de Skeunk a Esmeralda;2,3041
Gancho de Cabelo de Safira;2,3041
Tufo de pelos de Rubina;2,3041
Bumerangue danificado de Diamantina;2,3041
Frasco para elementos;2,3201
Pele de Dowa Organs;2,3333
Capacete quebrado de Bwork;2,3437
Essência de Mob Esponja;2,3478
Penugem de Ferrangão;2,3671
Pedra de Safira;2,3763
Carne sangrenta;2,3783
Pelos de Wabbit Gowdo;2,3795
Veneno de Serpentino;2,3795
Correia de cabedal;2,3795
Orelha do Vovô Wabbit;2,3921
Flagelo de Robô Flagelador;2,3921
Sangue de Lobiwabbit;2,4032
Folha de Cawotman;2,4032
Orelhas de Wabbit Fluo;2,4032
Dentes de Wabbit Vampiro;2,4032
Olho de Wabbit Céfalo;2,4032
Pixel de Segmantode;2,4032
Penugem de Nenetruz;2,404
Guizo;2,4047
Minério estranho;2,4175
Pele de Larva Campestre;2,4304
Treco Inútil;2,4435
Olho de Rosatruz;2,4435
Dente de Ouro de Smagador;2,4483
Runa Res Pa;2,45
Runa Res Pm;2,45
Runa Ret Pa;2,45
Runa Ret Pm;2,45
Óleo de Pesk;2,4749
Pena de Truzocida;2,4833
Brinquedo da Garota Zoth;2,4868
Traseiro de Truzco;2,6105
Pedra do Smagador Legendário;2,6213
Ficha do Bworker;2,625
Pele de Rato;2,6455
Tintura Mágica Azulada;2,6475
Pedra preciosa Zoth;2,6524
Pata de Guindastruz;2,6524
Pedra de Cristalobola;2,6617
Bolas de Kanibola;2,6832
Runa Ra Por Ard;2,7
Runa Ra Po;2,7
Runa Ta Po;2,7
Runa Pata Po;2,7
Runa Rata Po;2,7
Runa Ta Res Emp;2,7
Runa Ta Res Cri;2,7
Runa Pata Res Cri;2,7
Runa Ta Res Por Terra;2,7
Runa Ta Res Por Fogo;2,7
Runa Ta Res Por Água;2,7
Runa Ta Res Por Ar;2,7
Runa Ta Res Por Neutro;2,7
Runa Ra Res Emp;2,7
Runa Ra Res Terra;2,7
Runa Ra Res Neutro;2,7
Runa Ra Res Fogo;2,7
Runa Ra Res Água;2,7
Runa Ra Res Cri;2,7
Runa Ra Res Ar;2,7
Rabo de Eskimute;2,7187
Flor de Kaliptus;2,765
Pena do Pekegwin;2,8006
Língua de Smagaclope;2,8167
Concentrado de arbusto;2,85
Asa de Dragoperu;2,8675
Pixel de Gordologram;2,8838
Pixel de Elfaceta;2,8838
Pixel de Kuadrablak;2,8838
Pixel de Fragmuk;2,8838
Chave da Casa Fantasma;2,8869
Coração de Smagador;2,8963
Ábaco Zoth;2,9242
Vime das Sombras;2,9384
Tintura Mágica Alaranjada;2,9482
Tufo Vermelho de Flib;2,9672
Lama Madura;2,9861
Cinzas maduras;2,9861
Poça madura;2,9861
Fumaça Madura;2,9861
Pele de Pingobeso;2,9873
Gobião de Kiye;3
Trigo de Ouro;3
Pepino Japonês;3
Zarabatana de Bambu;3
Cerâmica Quebrada de Seiojiki;3
Katana de Kwamurai;3
Máscara de Shinopeitu;3
Varinha de Tetanuki;3
Óculos de Paracolhão;3
Punho Rochoso de Ishibem Dotadu;3
Macacão Kwapa;3
Cuecaka de Akakwa;3
Relíquia de Gurlo, o Terrível;3
Pelos de Smilomute;3
Couro do Javali Glacial;3
Lenço do Milimestre;3
Osso de Sramurai;3
Bandagem de Bacamarrento;3
Cueca do Elsumo;3
Urtiga Strite;3
Seiva de freixo;3
Maraca de Levito;3
Pergaminho de Cactana;3
Flor de Cactoflora;3
Bigode de Cactoblongo;3
Tanga de Pampacto;3
Orelha de Neskakoalak;3
