Recurso;XP/unidad
Counterfeit Royal Seal;0,2446
Bwork Magus Beard Hair;0,2475
Plain Boar Snout;0,2485
Tiwabbit Wosungwee Branch;0,2485
Elm Wood;0,25
Dolomite;0,25
Mandrake;0,25
Millet;0,25
Tench;0,25
Mouse Hair;0,2505
Ephedryan Bramble;0,2505
Chafer Foot Soldier's Surprising Bone;0,2527
Ice Kwak Beak;0,2537
Fire Kwak Beak;0,2537
Wind Kwak Beak;0,2537
Ice Kwak Feather;0,2537
Fire Kwak Feather;0,2537
Wind Kwak Feather;0,2537
Earth Kwak Feather;0,2537
Earth Kwak Beak;0,2537
Kwak Claws;0,2537
Coralator Coccyx;0,2537
Explosive Capsule;0,2539
Holy Bamboo Wood;0,26
Swordfish;0,26
Broken Chains;0,2604
Sapphire Larva Tooth;0,263
Tiwabbit Whiskers;0,263
Kardorim's Skull;0,2631
Sesame Seed;0,2664
Blueberry Jelly;0,2668
Snowdrop;0,27
Icefish;0,27
Aspen Wood;0,27
Frosteez;0,27
Obsidian;0,27
Black Tiwabbit Headband;0,2725
Crab Pincer;0,2725
Elite Chafer's Mercy Kill;0,2725
Chafer Lancer Leather Briefs;0,2725
Crocodyl Teeth;0,2725
Lousy Pig Leather;0,2725
Chafer Archer Arrow;0,2725
Broken Trident;0,2725
Raul Mops Eye;0,2725
Bad Boy Tattoo;0,2725
Family Relic;0,2725
Starfish Eyelid;0,2725
Ghost's Cold Sweat;0,2725
Old Partition Sheet Music;0,2725
Treechnee Hair;0,2725
Amber;0,2778
Emerald Larva Tooth;0,2821
Lemon Jelly;0,2827
Mint Jelly;0,284
Treechnid Root;0,2907
Wabbit Paw;0,292
Walnut;0,2986
Draugur Chafer Jaw;0,2998
Big Cannonball;0,3005
Ruby Larva Tooth;0,3021
Trunkiblop Root;0,3022
Kokostraw;0,3036
Strawberry Jelly;0,305
Tender Meat;0,3098
Kokokonut Palm Trunk;0,3125
Traumatised Rokokonut;0,3125
Green Carapace;0,3125
Red Carapace;0,3125
Yellow Carapace;0,3125
Blue Carapace;0,3125
Kokonut Slice;0,3125
Tikokoko Leaf;0,3125
Thoronduddleswell Feather;0,3125
Bulkyfallo Horn;0,3125
Loutbear Claw;0,3125
Coolwolf Fang;0,3125
Black Wabbit Paw;0,3191
Blopshroom Flower;0,3222
Eguntew Foot;0,326
Bwork Shoulder Pad;0,3276
Golden Larva Tooth;0,3298
Bionic Eye;0,337
Skeleton Wabbit Bone;0,3408
Dragon Haiku: Resolution;0,3415
Dragon Haiku: Passion;0,3415
Suspicious Wrapper;0,3482
Sickly Skin;0,3543
Waddict Tooth;0,3596
Moskito Eyebrows;0,3635
Grossewer Raeman Skin;0,3713
Skeleton Black Wabbit Headband;0,3713
Timongoose Fur;0,3734
Wunkie Tendon;0,3831
Industrial Fattrool;0,3842
Sponge Mob Skin;0,3913
Gwandpa Wabbit Beard Hair;0,3952
Beaztinga Wings;0,3952
Plisskenskin;0,3952
Robo Mace's Chain;0,3952
Damaged Shell;0,3952
Hyoactive Rat Tail;0,3952
Double Swell Warrior Ear;0,3952
Demonic Rose Saliva;0,3981
Wo Wabbit Stomach;0,404
Green Mouse;0,404
Broken Hinge;0,404
Plains Larva Tooth;0,404
Robionicle Claw;0,404
Crackler Stone;0,4098
Greedoblop Flower;0,4263
Ancestral Cotton;0,4282
Wild Grass;0,4282
Strawberry;0,4293
Fertiliser;0,4339
Magic Arachnee Leg;0,443
Goblin Eye Tooth;0,4436
Thierry Voodoo Doll;0,4456
Jav Voodoo Doll;0,4456
Sarbak Voodoo Doll;0,4456
Archer Voodoo Doll;0,4456
Grossewer Rat Hair;0,4456
Tam Voodoo Doll;0,4456
Silk String;0,4458
Wild Sunflower Leaf;0,4458
Maggoty Meat;0,4459
Mush Mush Sporm;0,4478
Worm-Ridden Wood;0,4478
Wis Rune;0,45
Pa Pod Rune;0,45
Pa Ini Rune;0,45
Pp Rune;0,45
Ferrite;0,45
Particle Board;0,45
Vetauran Tin;0,4534
Still Water;0,4546
Primitive Chafer Helmet;0,4628
Cracklope Eye;0,4714
Dragoturkey Peak;0,4796
Gobball Blood;0,4866
Spectral Flame;0,4921
Flib's Stump;0,4936
Flint;0,4989
Slimy Scale;0,5073
Sparo's Scarf;0,5078
Cursed Pumpkwin Seeds;0,525
Kardorim's Crypt Key;0,5254
Immature Koalak Skin;0,5344
Barbrossa's Shirt;0,5344
Kido Blood;0,535
Dead Neye;0,5418
Pointed Stone Fragment;0,5431
Polished Stone Fragment;0,5494
Whitish Fang Paw;0,5494
Diamond Stone;0,55
Mushroom;0,5646
Crovus Feather;0,5646
Scurvion Seed;0,5646
Dragoturkey Teeth;0,5646
Kolerat Whiskers;0,5646
Macian Chops;0,5646
Foxfyter Ear;0,5646
Mushd Hand;0,5646
Wild Dragoturkey Tail;0,5646
Gobkool Wool;0,5648
Dark Rose Leaf;0,5742
Vetauran Hair;0,578
Strubian Sickrat Mane;0,582
Vampiric Liquid;0,5837
Boar Fabric;0,6085
Dark Treechnid Amber;0,6185
Royal Gobball Leather;0,6194
Crocodyl Chief Scale;0,6263
Clay Dreggon Shell;0,6279
Coal Dreggon Shell;0,6279
Slate Dreggon Shell;0,6279
Kaniger Nail;0,6279
Alabaster Dreggon Skin;0,6279
Ecaflee Catzino Token;0,63
Rancid Meat;0,6431
Coal;0,6562
Golden Dragoturkey Peak;0,6585
Squirrol Fabric;0,6651
Darit Hair;0,6651
Sewer Arachnee Leg;0,6651
Strubian Raeman Eye;0,6651
Strubian Milirat Slices;0,6651
Miliboowolf Scalp;0,6666
Ra Str Rune;0,6749
Ra Int Rune;0,6749
Ra Vit Rune;0,6749
Ra Agi Rune;0,6749
Ra Cha Rune;0,6749
Tra Int Rune;0,6749
Pa Tra Int Rune;0,6749
Ra Tra Int Rune;0,6749
Tra Str Rune;0,6749
Pa Tra Str Rune;0,6749
Ra Tra Str Rune;0,6749
Tra Agi Rune;0,6749
Pa Tra Agi Rune;0,6749
Ra Tra Agi Rune;0,6749
Tra Cha Rune;0,6749
Pa Tra Cha Rune;0,6749
Ra Tra Cha Rune;0,6749
Tra Vit Rune;0,6749
Pa Tra Vit Rune;0,6749
Ra Tra Vit Rune;0,6749
Invisible Fabric;0,6823
Muddy Mushd Heart;0,692
Magic Famished Sunflower Petal;0,6923
Dok Alako Fabric;0,7114
Medicinal Stone;0,7114
Limestone Dreggon Shell;0,7168
Evil Tofu Feather;0,7582
Dark Miner's Candle;0,7627
Novice Mud;0,7852
Novice Powder;0,7852
Novice Puddle;0,7852
Novice Smoke;0,7852
Broken Chafer Helmet;0,7879
Dod Rune;0,8
Loc Rune;0,8
Emerald Stone;0,8016
Granite Stone;0,8085
Brown Warko Boomerang;0,823
Blood-Soaked Meat;0,8342
Black Wo Wabbit Stomach;0,8414
Wobot Wosungwee Fur;0,8414
Wobot Helmet;0,8414
Whitepaw Wabbit Staff;0,8414
Tiwobot Goggles;0,8414
Leopena Eye;0,8414
Dark Treechnid Root;0,8441
Venerable Treechnid Root;0,8625
Spykbal Ball;0,8625
Ourobubble Scales;0,8625
Scordion Tail;0,8625
Fennex Tail;0,8625
Pa Trp Per Rune;0,9
Pa Pow Rune;0,9
Pa Psh Res Rune;0,9
Pa Cri Res Rune;0,9
Pa Air Res Rune;0,9
Pa Water Res Rune;0,9
Pa Fire Res Rune;0,9
Pa Neutral Res Rune;0,9
Pa Earth Res Rune;0,9
Pa Tra Psh Res Rune;0,9
Trool Bone;0,915
Crabeye Pincer;0,9261
Arachnotron Broken Mask;0,9261
Golden Scarabugly Wings;0,9459
Boostoplasm;0,9459
Gullipop Feather;0,9505
Novice Ashes;0,957
Morello Cherry Koalak Hair;0,9687
Coco Koalak Hair;0,9687
Pippin Koalak Hair;0,9687
Indigo Koalak Hair;0,9687
Fisheralak Bone;0,9687
Piralak Skin;0,9687
Koalak Forester Hair;0,9687
Kwoan Tooth;0,9739
Prepubescent Boostache Tail;0,9739
Gargoyl Tongue;0,9739
Woolly Bow Meow Hair;0,9762
Spinal Cord;0,9792
Bat;0,9982
Nugget;1
Stunted Rat Fabric;1,0033
Gobkool Horn;1,012
Lilbike Wheel;1,0123
Pirolienne Bud;1,0123
Greaseball Bomb;1,0123
Purple Fabric;1,0123
Bandages;1,0123
Dalbweel Knife;1,0123
Mabwork Ear;1,0123
Tattered Bwork Boot;1,0123
Burnabwork Skin;1,0123
Batofu Feather;1,0294
Kickroach Leg;1,0294
Luigie Mushroom;1,0366
Dark Treechnee Bark;1,0389
Daddy Longlex Mouthparts;1,0389
Venomica Wool;1,0389
Gargantula Teeth;1,0389
Nephilady Silk;1,0389
Jumparak Eye;1,0389
Dragon Haiku: Destruction;1,0437
Dragon Haiku: Creation;1,0437
Improved Blibli Wax;1,0502
Khamelerost Skin;1,0543
Silkworm Cocoon;1,0639
Garglyph Leather Briefs;1,0639
Dark Tissue;1,0639
Chafer Skull;1,0639
Tofurby Stomach;1,0639
Wooden Disk;1,0639
Tofukaz Stomach;1,0639
Rotten Egg;1,0639
Tofoone Fluff;1,0639
Pignolia Leather;1,067
Rib Jaw;1,0726
Wild Sunflower Oil;1,0747
Director Grunob's Manual;1,0937
Greedovore Flower;1,0937
Ambusher Leaf;1,0937
Domoizelle Feather;1,0937
Dostrogo Feather;1,0937
Dead Glukoko;1,0937
Pirate's Cute Shorts;1,1025
Quality Rum;1,1025
Cannon Dorf Ball;1,1025
Hazwonarm Headband;1,1025
Rusty Blade;1,1025
Stale Meat;1,1025
Cawwot;1,1055
Boowolf Tail;1,121
Irony Water;1,151
Scaraleaf Entrails;1,1977
Sesame Oil;1,1992
Aluminite;1,2
Plywood Board;1,2
Target Dummy Body;1,2
Frosteez Oil;1,215
Trunknid Eyebrows;1,2263
Morongrel Leg;1,2363
Dam Ref Rune;1,25
Trp Dam Rune;1,25
Hunting Rune;1,25
Psh Dam Rune;1,25
Cri Dam Rune;1,25
Earth Dam Rune;1,25
Fire Dam Rune;1,25
Water Dam Rune;1,25
Air Dam Rune;1,25
Neutral Dam Rune;1,25
Drakoalak Skin;1,2616
Gobvious's Duster;1,2616
Ronin Chafer Thighbone;1,2883
Mama Koalak Bone;1,2966
Weremoggy Catzino Token;1,305
Spanner Tooth;1,3229
Ugly Tofu Beak;1,3312
Sauroshell Egg Yolk;1,3392
Smiths' Chest Lock;1,3392
Capsaaloock Hair;1,3404
Rat Shio Pustule;1,3404
Capoei Rat Shorts;1,3404
Boowonoké Hairs;1,3494
Boogranny Canine;1,3494
Boowoldlum Claw;1,3494
Boopig Eye;1,3494
Shape-Shifting Dragoss Shell;1,3494
Coal Dragoss Scale;1,3494
Slate Dragoss Scale;1,3494
Limestone Dragoss Scale;1,3494
Clay Dragoss Scale;1,3494
Rhinoblasty Ear;1,3494
Ra Pod Rune;1,35
Ra Ini Rune;1,35
Tra Ini Rune;1,35
Pa Tra Ini Rune;1,35
Ra Tra Ini Rune;1,35
Tra Pod Rune;1,35
Pa Tra Pod Rune;1,35
Ra Tra Pod Rune;1,35
Bwork Archer Scalp;1,3824
Bworkette Skin;1,3888
Craboral Pincer;1,3975
Impure Blue Corruptah Stone;1,4006
Bright Sack of Potatoes;1,4009
Dark Sack of Potatoes;1,4009
Field Dungeon Key;1,4059
Oozing Meat;1,4221
Ouassingue Slobber;1,4434
Impure Yellow Corruptah Stone;1,4482
Impure Green Corruptah Stone;1,4521
Piece of Claw's Jigsaw;1,4535
Piece of Badoul's Treasure;1,4535
Vampire Straw;1,4535
Kurasso Petal;1,4535
Mahlibuh Petal;1,4535
Passaoh Petal;1,4535
Mojeeto Petal;1,4535
Persaport Cord;1,4583
Mimicasket Tongue;1,4583
Antrezure Antenna;1,4583
Hurtful Locker Horn;1,4583
Precious Moustache;1,4583
Piglet Milk;1,4608
Scaratos Carapace;1,4669
Tofuzmo Feather Duster;1,4669
Drinker Feather;1,47
Tamed Crobak Feather;1,47
Rat Batster's Slingshot;1,4765
Chika Rat's Lance;1,4765
Aloevie Rat's Magical Tome;1,4765
Chak Rat's Collar;1,4765
Bwork Magus Book;1,48
Deminoball Leather;1,483
Mumminotor Bandage;1,483
Blastofu Ashes;1,483
Crowfox Hair;1,4969
Plain Boar Tail;1,5
Dead Major Arachnee;1,5
Mufafah Moustache;1,5
Tiwabbit Wosungwee Tongue;1,5
Tofubine Feather;1,5082
Earthworm;1,5149
Waterworm;1,5149
Fireworm;1,5149
Airworm;1,5149
Worn Coral;1,5149
Kido Rear Feather;1,5287
Miremop Tooth;1,5287
Crobak Foot;1,5307
Wabbit Teeth;1,5595
Tiwabbit Ears;1,5625
Shin Larva Skin;1,5625
Great Sacrum;1,5625
Kwakwa Feather;1,5625
Sapphire Larva Skin;1,5625
Nicking for Ninnies;1,5625
Kardorim Essence;1,5789
Podgy Tofu Leg;1,585
Greedo Rum;1,5909
Ambusher Bud;1,5909
Polished Brain Fragment;1,6035
Elite Chafer Dentures;1,6268
Chafer Archer Thighbone;1,6268
Black Tiwabbit Hair;1,6268
Mumussel Lining;1,6268
Shroud;1,6268
Tuft of White Hair;1,6268
Starfish Tongue;1,6268
Empty Crab Carapace;1,6268
Lousy Pig Leather Briefs;1,6268
Lousy Pig Chops;1,6268
Mutilated Makroute;1,6268
Mutilated Bear;1,6268
Raul Mops Skin;1,6268
Treechnee Eye;1,6268
Raw Mother of Pearl;1,6302
Plain Pikoko Wing;1,6336
Crocodyl Scale;1,635
Dragostess Skin;1,6373
Dragandrop Hide;1,6373
Dragnnoyed Horn;1,6373
Dragnarok Hide;1,6373
Dragmatic Horn;1,6373
Memory Potion;1,65
Minoskito Skin;1,6641
Manderisha Skin;1,6641
Kilibriss Down;1,6641
Dead Blop;1,6847
Ruby Stone;1,6885
Emerald Larva Skin;1,6931
Farle's Pig Skin;1,7078
Morello Cherry Key Fragment;1,725
Pippin Key Fragment;1,725
Coco Key Fragment;1,725
Indigo Key Fragment;1,725
Crystal Stone;1,7427
Crocodyl Bone;1,744
Kamyum;1,75
Wabbit Fabric;1,7613
Minokid Hair;1,764
Minokid Horn;1,764
Bone Fragment;1,7663
Koalak Gravedigger Shinbone;1,7781
Koalak Warrior Hair;1,7781
Old Kralove Sucker;1,7781
Sandy Castle Key;1,78
Fire Res Per Rune;1,8
Air Res Per Rune;1,8
Earth Res Per Rune;1,8
Neutral Res Per Rune;1,8
Water Res Per Rune;1,8
Mastodon Flute;1,8
Piglet Leather Briefs;1,8041
Mastogobbly Ear;1,8116
Ruby Larva Skin;1,8314
Bloody Koalak Tuft;1,843
Dried Meat;1,846
Bulbiflor Pollen;1,8529
Nenufrog Tongue;1,8529
Bulbush Thorn;1,8529
Flowistil Pistil;1,8529
Bambooto Stalk;1,8529
Fleeflee Paw;1,8529
Melouse Eye;1,8529
Bytbul Palp;1,8529
Geriatick Skin;1,8529
Itsh Spine;1,8529
Kokokonut;1,8656
Turtle Milk;1,8656
Koalak Rider Skin;1,9006
Red Metaria;1,9031
Blue Metaria;1,9031
Yellow Metaria;1,9031
Green Metaria;1,9031
Shrynk Rat's Magic Skull;1,9187
Rat Phink's Rusty Pipe;1,9187
Rat Lly's Old Book;1,9187
Flatt Rat's Ear;1,9187
Pine Cone;1,9217
Royal Blop Leaf;1,9523
Wild Koalak Scarf;1,9687
Mastogob Wool;1,9763
Short-Tempered Dark Treechnid Bud;1,9772
Golden Larva Skin;1,9776
Signature Rune;1,98
Quetsnakiatl Feather;1,9845
Great Coralator Relic;2
Short-Tempered Arachnotron Broken Mask;2
Topaz Stone;2,0044
Pa Wis Rune;2,025
Pa Pp Rune;2,025
Great Game Catzino Token;2,025
Flexible Bony Forehead;2,025
Dense Bezoar;2,025
Black Wabbit Bobtail;2,0329
Koalak Mummy Ulna;2,0381
Purple Warko Used Nappy;2,0381
Skeleton Wabbit Skull;2,0538
Treechnid Amber;2,0806
Mastogob Warrior Horn;2,1038
Short-Tempered Treechnee Leg;2,1213
Blodz Uker Skin;2,1541
Venerable Mastogob Wool;2,174
Koalak Master Skin;2,1767
Adventurer Skull;2,1767
Skeleton Black Wabbit Ossicle;2,2124
Troolaraj Mane;2,2137
Royal Blueberry Jelly;2,2282
Royal Mint Jelly;2,2282
Royal Strawberry Jelly;2,2282
Royal Lemon Jelly;2,2282
Wa Wabbit Hair;2,2282
Carniflora;2,2282
Mawabouwaino Chip;2,2282
Magic Dark Dye;2,2346
First Part of the Dragon Pig's Maze Key;2,2352
Brownish Pompom;2,2356
Healing Branch Leaf;2,2464
Summoning Branch Finger;2,2464
Zoth Smoke Machine;2,2493
Ebonite;2,25
Greal Board;2,25
Rice Oil;2,25
Troolewd Hair;2,2509
Troofle;2,2509
Fattrool;2,2509
Key to the Royal Gobball's Court;2,2536
Emeralda's Skeunk Autograph;2,3041
Sapphira's Hairpin;2,3041
Tuft of Ruby's Hair;2,3041
Diamondine's Damaged Boomerang;2,3041
Element Flask;2,3201
Dorgan Ation Skin;2,3333
Bwork Helmet;2,3437
Sponge Mob Essence;2,3478
Beaztinga Fuzz;2,3671
Sapphire Stone;2,3763
Bloody Meat;2,3783
Wo Wabbit Hair;2,3795
Plissken Venom;2,3795
Leather Drive Belt;2,3795
Gwandpa Wabbit Ear;2,3921
Robo Mace's Mace;2,3921
Wewe-Wabbit Blood;2,4032
Cawwotman Leaves;2,4032
Glo Wabbit Ears;2,4032
Vampiwe Wabbit Teeth;2,4032
Janus Wabbit Eye;2,4032
Segmantid Pixel;2,4032
Stricheetru Fluff;2,404
Bell;2,4047
Strange Ore;2,4175
Plains Larva Skin;2,4304
Useless Junk;2,4435
Patrich Eye;2,4435
Crackler's Gold Tooth;2,4483
Ap Res Rune;2,45
Mp Res Rune;2,45
Ap Red Rune;2,45
Mp Red Rune;2,45
Snapper Oil;2,4749
Trubout Feather;2,4833
Zoth Girl's Toy;2,4868
Watchamatrich Rump;2,6105
Legendary Crackler Rock;2,6213
Bworker Token;2,625
Rat Skin;2,6455
Magic Bluish Dye;2,6475
Precious Zoth Stone;2,6524
Stretch Leg;2,6524
Crystaloball Stone;2,6617
Kanniballs;2,6832
Ra Trp Per Rune;2,7
Ra Pow Rune;2,7
Tra Pow Rune;2,7
Pa Tra Pow Rune;2,7
Ra Tra Pow Rune;2,7
Tra Psh Res Rune;2,7
Tra Cri Res Rune;2,7
Pa Tra Cri Res Rune;2,7
Tra Earth Res Per Rune;2,7
Tra Fire Res Per Rune;2,7
Tra Water Res Per Rune;2,7
Tra Air Res Per Rune;2,7
Tra Neutral Res Per Rune;2,7
Ra Psh Res Rune;2,7
Ra Earth Res Rune;2,7
Ra Neutral Res Rune;2,7
Ra Fire Res Rune;2,7
Ra Water Res Rune;2,7
Ra Cri Res Rune;2,7
Ra Air Res Rune;2,7
Cromagmunk Tail;2,7187
Kaliptus Flower;2,765
Pingwinkle Feather;2,8006
Cracklope Tongue;2,8167
Shrubstrate;2,85
Dragoturkey Wing;2,8675
Bigbit Pixel;2,8838
Elfacet Pixel;2,8838
Brikablak Pixel;2,8838
Smashlete Pixel;2,8838
Haunted House Key;2,8869
Crackler Heart;2,8963
Zoth Abacus;2,9242
Dark Wicker;2,9384
Magic Orange Dye;2,9482
Flib's Red Tuft;2,9672
Mature Mud;2,9861
Mature Ashes;2,9861
Mature Puddle;2,9861
Mature Smoke;2,9861
Pingwobble Skin;2,9873
Kiye Gudgeon;3
Golden Wheat;3
Cucumber;3
Bamboo Blowgun;3
Tatatojiki's Broken Pottery;3
Kwamurai Katana;3
Shinobuubusu Mask;3
Titinuki Wand;3
Parashutackle Glasses;3
Ishibig Pak Rocky Fist;3
Kwapa Coveralls;3
Akakwa Akapants;3
Gourlo the Terrible Relic;3
Sabredon Hair;3
Woolly Piggoth Leather;3
Millimaster Scarf;3
Sramurai Bone;3
Blundergus Bandage;3
Elsumo Pants;3
Nettle Hyroid;3
Ash Sap;3
Levito Maraca;3
Cactana Scroll;3
Castupod Flower;3
Saguaro Whiskers;3
Pampastuc G-String;3
Yazkooalak Ear;3
Chocopingwin Stomach;3
Chocolate Fur;3
Chocosnailmet Coating;3
Kwakao Beak;3
Marbled Meat;3,0046
Sparo's Humerus;3,0693
Gourlo's Wrecked Shorts;3,1395
Nelween Down;3,1395
Draegnerys's Cloth;3,1395
Ball;3,174
Barbrossa's Ridiculous Beard;3,174
Diamond;3,1759
Hunter's Trap Chest;3,1914
Mama Pingwin Down;3,2007
Frighog Pierced Ear;3,2222
Zoth Pipe;3,2222
Megacrackler Megastone;3,2631
Warguerite Bract;3,2705
Scurvion Entrails;3,2812
Kartridge Bag;3,283
Gwass Sepal;3,3192
Shaman Pingwin Beard Hair;3,3192
Kanigloo Ear;3,3461
Crooked Fibre;3,3535
Crovus Eye;3,3535
Reptilian Sword Fragment;3,3535
Broken Macian Collar;3,3535
Dead Kolerat;3,3535
Dragoturkey Beard Hairs;3,3535
Tofu House Key;3,3665
Kickroach's Lair Key;3,3665
Rotaflor Carpel;3,3683
Foxfyter Fabric;3,391
Wild Ginger Dragoturkey Wing;3,391
Barkritter Calyx;3,4177
Scaraleaf Dungeon Key;3,4325
Kung-Fu Pingwin Tail;3,4469
Walnut Oil;3,4485
Pa Dod Rune;3,6
Pa Loc Rune;3,6
Tra Dod Rune;3,6
Pa Tra Dod Rune;3,6
Ra Tra Dod Rune;3,6
Tra Loc Rune;3,6
Pa Tra Loc Rune;3,6
Ra Tra Loc Rune;3,6
Floramor Stamen;3,6009
Pathogerm Skin;3,616
Blop Field Key;3,6281
Dark Pikoko Tonsils;3,653
Gang Rat Eye;3,6546
Mature Powder;3,6647
Dark Treeckler Seed;3,7055
Royal Gobball Essence;3,7168
Boombardier Hairs;3,7222
Fouxnamballist Hairs;3,7222
Bangartifoux Hairs;3,7222
Gingerocket Skin;3,7222
Spitfoux Skin;3,7222
Fangshu Spearhead;3,7222
