Recurso;XP/unidad
Rune Ré Neutre;0,2
Rune Ré Pou;0,2
Rune Ré Cri;0,2
Ginseng;0,2
Lotte;0,2
Lamelle de Champa Bleu;0,202
Lamelle de Champa Marron;0,202
Lamelle de Champa Rouge;0,202
Lamelle de Champa Vert;0,202
Tambour de Gobaladée;0,2058
Longue-vue de Gob-Trotteur;0,2058
Pic de Lance de Gobet;0,2058
Os rongé de Gobichon;0,2058
Bonnet de Gobaliste;0,2058
Bois de Tronknyde;0,2062
Graine de la Discorde;0,207
Viande Minérale;0,2078
Boyau de zarbivore;0,2087
Requin Marteau-Faucille;0,21
Bois de Kaliptus;0,21
Ailes de Scarafeuille Bleu;0,2136
Ailes de Scarafeuille Vert;0,2136
Miroir de Dopeul;0,2138
Or;0,22
Bois de Charme;0,22
Bar Rikain;0,22
Belladone;0,22
Maïs;0,22
Ailes du Scarafeuille Noir;0,2214
Papier Charbon;0,2225
Rune Pa Fo;0,2249
Rune Pa Ine;0,2249
Rune Pa Vi;0,2249
Rune Pa Age;0,2249
Rune Pa Cha;0,2249
Slip de Bwork Archer;0,2293
Corail Kouraçao;0,2358
Corail Malibout;0,2358
Corail Passaoh;0,2358
Corail Morito;0,2358
Plume Graisseuse du Tofu Ventripotent;0,2388
Bois de Bambou Sombre;0,24
Morue;0,24
Bourse Suspecte;0,2427
Bulbe Kouraçao;0,2446
Bulbe Malibout;0,2446
Bulbe Passaoh;0,2446
Bulbe Morito;0,2446
Sceau Royal Contrefait;0,2446
Poils de Barbe du Bwork Mage;0,2475
Groin de Sanglier des Plaines;0,2485
Branche de Tiwabbit Kiafin;0,2485
Bois d'Orme;0,25
Dolomite;0,25
Mandragore;0,25
Millet;0,25
Tanche;0,25
Poils de souris;0,2505
Ronce ephedryenne;0,2505
Os Surprise du Chafer Fantassin;0,2527
Bec du Kwak de Glace;0,2537
Bec du Kwak de Flamme;0,2537
Bec du Kwak de Vent;0,2537
Plume du Kwak de Glace;0,2537
Plume du Kwak de Flamme;0,2537
Plume du Kwak de Vent;0,2537
Plume du Kwak de Terre;0,2537
Bec du Kwak de Terre;0,2537
Griffes de Kwak;0,2537
Coccyx du Corailleur;0,2537
Capsule Explosive;0,2539
Bois de Bambou Sacré;0,26
Espadon;0,26
Chaînes Brisées;0,2604
Dent de Larve Saphir;0,263
Moustaches de Tiwabbit;0,263
Crâne de Kardorim;0,2631
Graine de Sésame;0,2664
Gelée Bleuet;0,2668
Perce-Neige;0,27
Poisskaille;0,27
Bois de Tremble;0,27
Frostiz;0,27
Obsidienne;0,27
Bandeau du Black Tiwabbit;0,2725
Pince de Crabe;0,2725
Miséricorde du Chafer d'Élite;0,2725
Slip en cuir du Chafer Lancier;0,2725
Dent de Crocodaille;0,2725
Cuir de Porkass;0,2725
Flèche du Chafer Archer;0,2725
Trident Cassé;0,2725
Œil de Raul Mops;0,2725
Tatouage de Mauvais Garçon;0,2725
Relique Familiale;0,2725
Paupière d'Étoile;0,2725
Sueur Froide de Fantôme;0,2725
Vieille Partition;0,2725
Poil d'Abrakne;0,2725
Ambre;0,2778
Dent de Larve Émeraude;0,2821
Gelée Citron;0,2827
Gelée à la Menthe;0,284
Racine d'Abraknyde;0,2907
Patte de Wabbit;0,292
Noix de Pécan;0,2986
Mâchoire du Chafer Draugr;0,2998
Gros Boulet;0,3005
Dent de Larve Rubis;0,3021
Racine de Tronkoblop;0,3022
Kokopaille;0,3036
Gelée à la Fraise;0,305
Viande Tendre;0,3098
Tronc de Kokoko;0,3125
Noix de Grokoko Traumatisée;0,3125
Carapace Verte;0,3125
Carapace Rouge;0,3125
Carapace Jaune;0,3125
Carapace Bleue;0,3125
Tranche de Nodkoko;0,3125
Feuille de Tikoko;0,3125
Plume de Thomondor;0,3125
Corne de Buffalourd;0,3125
Griffe de Grolours;0,3125
Croc de Trankilou;0,3125
Patte de Black Wabbit;0,3191
Fleur de Blopignon;0,3222
Patte de Twakeuf;0,326
Épaulière de Bwork;0,3276
Dent de Larve Dorée;0,3298
Œil Bionique;0,337
Os de Wabbit Squelette;0,3408
Haïku du dragon : Résolution;0,3415
Haïku du dragon : Passion;0,3415
Emballage Suspect;0,3482
Peau Égrotante;0,3543
Dent de Waddict;0,3596
Sourcil de Moskito;0,3635
Peau de Ramane d'Égoutant;0,3713
Bandeau de Black Wabbit Squelette;0,3713
Fourrure de Timongouste;0,3734
Tendon de Waccro;0,3831
Gratrooll Industriel;0,3842
Peau de Mob l'Éponge;0,3913
Poils de Barbe du Grand Pa Wabbit;0,3952
Aile de Bourdard;0,3952
Peau de serpentin;0,3952
Chaîne de Robot Fléau;0,3952
Coque Endommagée;0,3952
Queue de Rat d'Hyoactif;0,3952
Oreille de Guerrier Mental;0,3952
Bave de Rose Démoniaque;0,3981
Estomac de Wo Wabbit;0,404
Souris verte;0,404
Charnière Cassée;0,404
Dent de Larve Champêtre;0,404
Griffe de Robionicle;0,404
Pierre du Craqueleur;0,4098
Fleur de Gloutoblop;0,4263
Coton Ancestral;0,4282
Herbe Folle;0,4282
Fraise;0,4293
Engrais;0,4339
Patte d'Arakne Magique;0,443
Canine de Gobelin;0,4436
Poupée Vaudou Eth;0,4456
Poupée Vaudou Jav;0,4456
Poupée Vaudou Sarbak;0,4456
Poupée Vaudou Ark;0,4456
Poil de Rat d'Égoutant;0,4456
Poupée Vaudou Tam;0,4456
Fil de Soie;0,4458
Feuille de Tournesol Sauvage;0,4458
Viande Ladre;0,4459
Sporme du Champ Champ;0,4478
Bois Vermoulu;0,4478
Rune Sa;0,45
Rune Pa Pod;0,45
Rune Pa Ini;0,45
Rune Prospe;0,45
Ferrite;0,45
Planche Agglomérée;0,45
Boîte de Vétauran;0,4534
Eau calme;0,4546
Casque du Chafer Primitif;0,4628
Œil de Craquelope;0,4714
Pic de dragodinde;0,4796
Sang de Bouftou;0,4866
Flamme Spectrale;0,4921
Chicot du Flib;0,4936
Silex;0,4989
Écaille poisseuse;0,5073
Foulard du Sparo;0,5078
Graines de Citwouille Maudites;0,525
Clef de la Crypte de Kardorim;0,5254
Peau de Koalak Immature;0,5344
Maillot de corps de Barbroussa;0,5344
Sang du Kido;0,535
Noeul Mort;0,5418
Fragment de Pierre Pointue;0,5431
Fragment de Pierre Polie;0,5494
Papatte de Croc Gland;0,5494
Pierre de Diamant;0,55
Champignon;0,5646
Plume de Crowneille;0,5646
Graine de Scorbute;0,5646
Dent de dragodinde;0,5646
Moustache de Kolérat;0,5646
Babines de Macien;0,5646
Oreille de Foufayteur;0,5646
Main de Boo;0,5646
Queue de dragodinde sauvage;0,5646
Laine du Boufcoul;0,5648
Feuille de Rose Obscure;0,5742
Poil de Vétauran;0,578
Crinière de Scélérat Strubien;0,582
Liquide vampiresque;0,5837
Étoffe du Sanglier;0,6085
Ambre d'Abraknyde Sombre;0,6185
Cuir de Bouftou Royal;0,6194
Écaille de Chef Crocodaille;0,6263
Coquille de Dragoeuf Argile;0,6279
Coquille de Dragoeuf Charbon;0,6279
Coquille de Dragoeuf Ardoise;0,6279
Ongle de Kanigrou;0,6279
Peau de Dragoeuf Albâtre;0,6279
Jeton du Chazino des Ecaflipuces;0,63
Viande Avariée;0,6431
Charbon;0,6562
Pic de dragodinde dorée;0,6585
Étoffe d'Écurouille;0,6651
Poils de Darit;0,6651
Patte d'Arakne des Égouts;0,6651
Œil de Ramane Strubien;0,6651
Rondelles de Milirat Strubien;0,6651
Scalp de Milimulou;0,6666
Rune Ra Fo;0,6749
Rune Ra Ine;0,6749
Rune Ra Vi;0,6749
Rune Ra Age;0,6749
Rune Ra Cha;0,6749
Rune Ta Ine;0,6749
Rune Pata Ine;0,6749
Rune Rata Ine;0,6749
Rune Ta Fo;0,6749
Rune Pata Fo;0,6749
Rune Rata Fo;0,6749
Rune Ta Age;0,6749
Rune Pata Age;0,6749
Rune Rata Age;0,6749
Rune Ta Cha;0,6749
Rune Pata Cha;0,6749
Rune Rata Cha;0,6749
Rune Ta Vi;0,6749
Rune Pata Vi;0,6749
Rune Rata Vi;0,6749
Tissu Invisible;0,6823
Cœur de Boue du Boo;0,692
Pétale Magique du Tournesol Affamé;0,6923
Étoffe de Dok Alako;0,7114
Pierre Médicinale;0,7114
Coquille de Dragoeuf Calcaire;0,7168
Plume de Tofu Maléfique;0,7582
Bougie du Mineur Sombre;0,7627
Boue Novice;0,7852
Poudre Novice;0,7852
Flaque Novice;0,7852
Fumée Novice;0,7852
Casque Cassé du Chafer;0,7879
Rune Fui;0,8
Rune Tac;0,8
Pierre d'Émeraude;0,8016
Pierre de Granit;0,8085
Boomerang du Warko Marron;0,823
Viande Sanguinolente;0,8342
Estomac de Black Wo Wabbit;0,8414
Poil de Wobot Kiafin;0,8414
Casque de Wobot;0,8414
Bâton de Blanc Pa Wabbit;0,8414
Lunettes de Tiwobot;0,8414
Œil de Léolhyène;0,8414
Racine d'Abraknyde Sombre;0,8441
Racine d'Abraknyde Vénérable;0,8625
Boule de Boulépique;0,8625
Écailles d'Ouroboulos;0,8625
Queue de Scordion Bleu;0,8625
Queue de Fennex;0,8625
Rune Pa Per Pi;0,9
Rune Pa Pui;0,9
Rune Pa Ré Pou;0,9
Rune Pa Ré Cri;0,9
Rune Pa Ré Air;0,9
Rune Pa Ré Eau;0,9
Rune Pa Ré Feu;0,9
Rune Pa Ré Neutre;0,9
Rune Pa Ré Terre;0,9
Rune Pata Ré Pou;0,9
Os de Trooll;0,915
Pince de Crabe Hijacob;0,9261
Masque Brisé d'Araknotron;0,9261
Ailes du Scarabosse Doré;0,9459
Boostoplasme;0,9459
Plume de Gélikan;0,9505
Cendres Novices;0,957
Poils de Koalak Griotte;0,9687
Poils de Koalak Coco;0,9687
Poils de Koalak Reinette;0,9687
Poils de Koalak Indigo;0,9687
Os de Pékeualak;0,9687
Peau de Piralak;0,9687
Poils de Koalak Forestier;0,9687
Dent de Kwoan;0,9739
Queue de Boostache Prépubère;0,9739
Langue de Gargrouille;0,9739
Poil de Chachachovage;0,9762
Colonne Vertébrale;0,9792
Chauve-souris;0,9982
Pépite;1
Étoffe de Rat Bougri;1,0033
Corne du Boufcoul;1,012
Roue de Tivelo;1,0123
Bourgeon de Pirolienne;1,0123
Bombe de Graboule;1,0123
Tissu Pourpre;1,0123
Bandelettes;1,0123
Couteau de Roukouto;1,0123
Oreille de Médibwork;1,0123
Botte trouée de Mégabwork;1,0123
Peau de Krambwork;1,0123
Plume de Batofu;1,0294
Patte de Kankreblath;1,0294
Champignon Luidegît;1,0366
Écorce d'Abrakne Sombre;1,0389
Chélicères d'Arapex;1,0389
Laine de Dardalaine;1,0389
Dent de Gargantûl;1,0389
Fil de Néfileuse;1,0389
Œil de Saltik;1,0389
Haïku du dragon : Destruction;1,0437
Haïku du dragon : Création;1,0437
Cire de Gligli Améliorée;1,0502
Peau de Kraméléhon;1,0543
Cocon de Ver à Soie;1,0639
Slip en Cuir Moulant du Garglyphe;1,0639
Tissu Sombre;1,0639
Crâne de Chafer;1,0639
Estomac de Tofu Ventripotent;1,0639
Rondelle de Bois;1,0639
Estomac de Tofukaz;1,0639
Œuf Pourri;1,0639
Duvet de Tofoune;1,0639
Cuir de Porsalu;1,067
Mâchoire de Rib;1,0726
Huile de Tournesol Sauvage;1,0747
Manuel du Directeur Grunob;1,0937
Fleur de Gloutovore;1,0937
Feuille de Fourbasse;1,0937
Plume de Domoizelle;1,0937
Plume de Dostrogo;1,0937
Trukikol Mort;1,0937
Caleçon Mignon du Pirate;1,1025
Rhum de Qualité;1,1025
Boulet de Canondorf;1,1025
Bandeau de Nakunbra;1,1025
Canif Rouillé;1,1025
Viande Rassie;1,1025
Cawotte;1,1055
Queue du Mulou;1,121
Eau Ferrugineuse;1,151
Viscères de Scarafeuille;1,1977
Huile de Sésame;1,1992
Aluminite;1,2
Planche Contreplaquée;1,2
Corps de Quintaine;1,2
Huile de Frostiz;1,215
Sourcils de Tronknyde;1,2263
Patte de Bouledogre;1,2363
Rune Do Ren;1,25
Rune Do Pi;1,25
Rune de chasse;1,25
Rune Do Pou;1,25
Rune Do Cri;1,25
Rune Do Terre;1,25
Rune Do Feu;1,25
Rune Do Eau;1,25
Rune Do Air;1,25
Rune Do Neutre;1,25
Peau de Drakoalak;1,2616
Plume de Gobvious;1,2616
Fémur du Chafer R?nin;1,2883
Os de Mama Koalak;1,2966
Jeton du Chazino des Matougarous;1,305
Dent de Molette;1,3229
Bec de Vilain Petit Tofu;1,3312
Jaune d'Œuf de Krokille;1,3392
Serrure du Coffre des Forgerons;1,3392
Poil de Capsaaloocke;1,3404
Pustule de Rat Sio;1,3404
Short de Capoei Rat;1,3404
Poils de Mulounoké;1,3494
Canine de Mergranlou;1,3494
Griffe de Muloubard;1,3494
Œil de Cocholou;1,3494
Coquille de Dragoss Protéiforme;1,3494
Écaille de Dragoss Charbon;1,3494
Écaille de Dragoss Ardoise;1,3494
Écaille de Dragoss Calcaire;1,3494
Écaille de Dragoss Argile;1,3494
Oreille de Rhinoféroce;1,3494
Rune Ra Pod;1,35
Rune Ra Ini;1,35
Rune Ta Ini;1,35
Rune Pata Ini;1,35
Rune Rata Ini;1,35
Rune Ta Pod;1,35
Rune Pata Pod;1,35
Rune Rata Pod;1,35
Scalp de Bwork Archer;1,3824
Peau de Bworkette;1,3888
Pince de Crustorail;1,3975
Pierre de souillure bleue impure;1,4006
Sac à Patates Clair;1,4009
Sac à Patates Sombre;1,4009
Clef des Champs;1,4059
Viande Exsudative;1,4221
Bave de Ouassingue;1,4434
Pierre de souillure jaune impure;1,4482
Pierre de souillure verte impure;1,4521
Pièce du Puzzle de la Griffe;1,4535
Pièce du Trésor du Badoul;1,4535
Paille Vampiresque;1,4535
Pétale Kouraçao;1,4535
Pétale Malibout;1,4535
Pétale Passaoh;1,4535
Pétale Morito;1,4535
Corde de Boursoin;1,4583
Langue de Mimikado;1,4583
Antenne de Trésantène;1,4583
Corne de Berserkoffre;1,4583
Moustache précieuse;1,4583
Lait de Cochon de Lait;1,4608
Carapace de Scaratos;1,4669
Plumeau de Tofuzmo;1,4669
Plume de Buveur;1,47
Plume de Corbac Apprivoisé;1,47
Lance-Pierre de Scélée Rate;1,4765
Lance de Chika Rat;1,4765
Ouvrage magique d'Aloevée Rate;1,4765
Collier de Chak Rat;1,4765
Livre du Bwork Mage;1,48
Cuir de Déminoboule;1,483
Bandelette du Mominotor;1,483
Cendres de Tofutoflamme;1,483
Poil de Renarbo;1,4969
Queue de Sanglier des Plaines;1,5
Arakne Majeure Morte;1,5
Moustache du Mufafah;1,5
Langue de Tiwabbit Kiafin;1,5
Plume de Tofubine;1,5082
Ver de Terre;1,5149
Ver d'Eau;1,5149
Ver de Feu;1,5149
Ver d'Air;1,5149
Corail usé;1,5149
Plume de fesse du Kido;1,5287
Dent de Bourbassingue;1,5287
Patte de Corbac;1,5307
Dent de Wabbit;1,5595
Oreilles du Tiwabbit;1,5625
Peau de Shin Larve;1,5625
Sacrum magistral;1,5625
Plume du Kwakwa;1,5625
Peau de Larve Saphir;1,5625
La cambriole pour les Nuls;1,5625
Essence de Kardorim;1,5789
Patte de Tofu Dodu;1,585
Glouto Rhum;1,5909
Bourgeon de Fourbasse;1,5909
Fragment de cerveau poli;1,6035
Dentier du Chafer d'Élite;1,6268
Fémur du Chafer Archer;1,6268
Poils de Black Tiwabbit;1,6268
Muqueuse de Moumoule;1,6268
Linceul;1,6268
Touffe de Cheveux Blancs;1,6268
Langue d'Étoile;1,6268
Carapace vide de Crabe;1,6268
Slip en cuir de Porkass;1,6268
Côtes de Porkass;1,6268
Makroute Déchiqueté;1,6268
Ours Déchiqueté;1,6268
Peau de Raul Mops;1,6268
Œil d'Abrakne;1,6268
Nacre brute;1,6302
Aile du Bitouf des Plaines;1,6336
Écaille de Crocodaille;1,635
Peau de Dragueuse;1,6373
Peau de Draguaindrop;1,6373
Corne de Dragacé;1,6373
Peau de Dragnarok;1,6373
Corne de Dragmatique;1,6373
Potion de Souvenir;1,65
Peau de Minoskito;1,6641
Peau de Mandrine;1,6641
Duvet du Kilibriss;1,6641
Blop mort;1,6847
Pierre de Rubis;1,6885
Peau de Larve Émeraude;1,6931
Peau de Cochon de Farle;1,7078
Morceau de clef Griotte;1,725
Morceau de clef Reinette;1,725
Morceau de clef Coco;1,725
Morceau de clef Indigo;1,725
Pierre de Cristal;1,7427
Os de Crocodaille;1,744
Kamiam;1,75
Étoffe du Wabbit;1,7613
Poil de Gamino;1,764
Corne de Gamino;1,764
Fragment d'Os;1,7663
Tibia de Koalak Fossoyeur;1,7781
Poils de Guerrier Koalak;1,7781
Vieille Ventouse de Kralamoure;1,7781
Clef du Château Ensablé;1,78
Rune Ré Per Feu;1,8
Rune Ré Per Air;1,8
Rune Ré Per Terre;1,8
Rune Ré Per Neutre;1,8
Rune Ré Per Eau;1,8
Flûte de Mastodonte;1,8
Slip en cuir de Cochon de Lait;1,8041
Oreille de Bouftonmouth;1,8116
Peau de Larve Rubis;1,8314
Houpette de Koalak Sanguin;1,843
Viande Séchée;1,846
Pollen de Bulbiflore;1,8529
Langue de Grenufar;1,8529
Épine de Bulbuisson;1,8529
Pistil de Floristile;1,8529
Tige de Bambouto;1,8529
Patte de Pupuce;1,8529
Œil de Morcac;1,8529
Palpe de Pikbul;1,8529
Peau de Gériatique;1,8529
Épine de Grath;1,8529
Noix de Kokoko;1,8656
Lait de Tortue;1,8656
Peau de Chevaucheur Koalak;1,9006
Métaria rouge;1,9031
Métaria bleue;1,9031
Métaria jaune;1,9031
Métaria verte;1,9031
Crâne magique de Rate Atinée;1,9187
Tuyau Rouillé de Rate Iboisée;1,9187
Vieux Bouquin de Rat Li;1,9187
Oreille de Rat Plapla;1,9187
Pom de Pin;1,9217
Feuille de Blop Royal;1,9523
Foulard de Koalak Farouche;1,9687
Laine de Boufmouth;1,9763
Bourgeon d'Abraknyde Sombre Irascible;1,9772
Peau de Larve Dorée;1,9776
Rune de Signature;1,98
Plume du Serpiplume;1,9845
Relique du Corailleur Magistral;2
Masque Cassé d'Araknotron Irascible;2
Pierre de Topaze;2,0044
Rune Pa Sa;2,025
Rune Pa Prospe;2,025
Jeton du Chazino du Grand Jeu;2,025
Front osseux souple;2,025
Bézoard dense;2,025
Queue de Black Wabbit;2,0329
Cubitus de Momie Koalak;2,0381
Couche usagée de Warko Violet;2,0381
Crâne de Wabbit Squelette;2,0538
Ambre d'Abraknyde;2,0806
Corne de Boufmouth de guerre;2,1038
Patte d'Abrakne Irascible;2,1213
Peau de Don Duss Ang;2,1541
Laine de Boufmouth légendaire;2,174
Peau de Maître Koalak;2,1767
Crâne d'Aventurier;2,1767
Osselet de Black Wabbit Squelette;2,2124
Crinière de Troollaraj;2,2137
Gelée Bleuet Royale;2,2282
Gelée Menthe Royale;2,2282
Gelée Fraise Royale;2,2282
Gelée Citron Royale;2,2282
Poil du Wa Wabbit;2,2282
Carniflore;2,2282
Éclat du Mawabouaino;2,2282
Teinture Magique Sombre;2,2346
Première partie de la clef du labyrinthe du Dragon Cochon;2,2352
Pompon Brunâtre;2,2356
Feuille de Branche Soignante;2,2464
Doigt de Branche Invocatrice;2,2464
Enfumoir Zoth;2,2493
Ébonite;2,25
Planche à Griller;2,25
Huile de Riz;2,25
Poil de Troolléolé;2,2509
Gâtrool;2,2509
Gratrooll;2,2509
Clef de la Cour du Bouftou Royal;2,2536
Dédicace de Skeunk pour Émeraude;2,3041
Épingle à Cheveux de Saphira;2,3041
Touffe de Poils de Rubise;2,3041
Boomerang Abîmé de Diamantine;2,3041
Fiole à élément;2,3201
Peau de Don Dorgan;2,3333
Casque cassé de Bwork;2,3437
Essence de Mob l'Éponge;2,3478
Duvet de Bourdard;2,3671
Pierre de Saphir;2,3763
Viande Saignante;2,3783
Poils de Wo Wabbit;2,3795
Venin de Serpentin;2,3795
Courroie en cuir;2,3795
Oreille du Grand Pa Wabbit;2,3921
Fléau de Robot Fléau;2,3921
Sang de Wabbit Garou;2,4032
Feuille de Cawotman;2,4032
Oreilles de Wabbit Fluo;2,4032
Dents de Wabbit Vampire;2,4032
Œil de Wabbit Céphale;2,4032
Pixel de Segmantid;2,4032
Duvet de Truchon;2,404
Grelot;2,4047
Minerai Étrange;2,4175
Peau de Larve Champêtre;2,4304
Bidule inutile;2,4435
Œil de Truchtine;2,4435
Dent en Or de Craqueleur;2,4483
Rune Ré Pa;2,45
Rune Ré Pme;2,45
Rune Ret Pa;2,45
Rune Ret Pme;2,45
Huile de Pichon;2,4749
Plume de Truchideur;2,4833
Jouet de Gamine Zoth;2,4868
Croupion de Truchmuche;2,6105
Pierre du Craqueleur Légendaire;2,6213
Jeton du Bworker;2,625
Peau de Rat;2,6455
Teinture Magique Bleutée;2,6475
Pierre Précieuse Zoth;2,6524
Patte de Gruche;2,6524
Pierre de Crystaloboule;2,6617
Boules de Kanniboul;2,6832
Rune Ra Per Pi;2,7
Rune Ra Pui;2,7
Rune Ta Pui;2,7
Rune Pata Pui;2,7
Rune Rata Pui;2,7
Rune Ta Ré Pou;2,7
Rune Ta Ré Cri;2,7
Rune Pata Ré Cri;2,7
Rune Ta Ré Per Terre;2,7
Rune Ta Ré Per Feu;2,7
Rune Ta Ré Per Eau;2,7
Rune Ta Ré Per Air;2,7
Rune Ta Ré Per Neutre;2,7
Rune Ra Ré Pou;2,7
Rune Ra Ré Terre;2,7
Rune Ra Ré Neutre;2,7
Rune Ra Ré Feu;2,7
Rune Ra Ré Eau;2,7
Rune Ra Ré Cri;2,7
Rune Ra Ré Air;2,7
Queue d'Écumouth;2,7187
Fleur de Kaliptus;2,765
Plume du Timansot;2,8006
Langue de Craquelope;2,8167
Substrat de Buisson;2,85
Aile de dragodinde;2,8675
Pixel de Gromorso;2,8838
Pixel de Farfacette;2,8838
Pixel de Brikablak;2,8838
Pixel d'Éklatleth;2,8838
Clef de la Maison Fantôme;2,8869
Cœur de Craqueleur;2,8963
Boulier Zoth;2,9242
Osier Sombre;2,9384
Teinture Magique Orange;2,9482
Touffe rousse du Flib;2,9672
Boue Mature;2,9861
Cendres Matures;2,9861
Flaque Mature;2,9861
Fumée Mature;2,9861
Peau de Mansobèse;2,9873
Goujon Kiye;3
Blé d'Or;3
Concombre;3
Sarbacane en Bambou;3
Poterie cassée de Lolojiki;3
Katana de Kwamouraï;3
Masque de Shinibaru;3
Baguette de Tétonuki;3
Lunettes de Parashukouï;3
Poing rocheux d'Ishigro Pake;3
Salopette Kwapa;3
Akaslip d'Akakwa;3
Relique de Gourlo le Terrible;3
Poils de Smilomouth;3
Cuir du Sanglacier;3
Foulard de Milimaître;3
Os de Sramouraï;3
Bandelette de Tromblion;3
Slip d'Elsoummo;3
Ortie Roïde;3
Sève de Frêne;3
Maraca de Lévito;3
Parchemin de Cactana;3
Fleur de Cactiflore;3
Moustaches de Cactoblongo;3
